STATION_NOM,POLLUANT_NOM,DATE_MESURE,MESURE_H01,MESURE_H02,MESURE_H03,MESURE_H04,MESURE_H05,MESURE_H06,MESURE_H07,MESURE_H08,MESURE_H09,MESURE_H10,MESURE_H11,MESURE_H12,MESURE_H13,MESURE_H14,MESURE_H15,MESURE_H16,MESURE_H17,MESURE_H18,MESURE_H19,MESURE_H20,MESURE_H21,MESURE_H22,MESURE_H23,MESURE_H24,MES_H_MINI,MES_H_MAXI,MOYENNE_JOUR
Bordeaux - Bastide,PM10,2012-03-07,31,34,34,34,40,38,44,61,81,77,67,64,32,22,20,24,22,21,25,27,29,20,14,16,14,81,37
Bordeaux - Bastide,PM10,2012-03-08,27,25,21,21,21,21,23,30,34,30,32,28,25,25,21,24,26,23,23,30,33,40,44,35,21,44,28
Bordeaux - Bastide,PM10,2012-03-09,34,36,34,32,32,34,36,57,84,93,79,50,34,29,33,38,31,30,35,43,51,46,42,42,29,93,44
Bordeaux - Bastide,PM10,2012-03-10,43,44,44,43,38,41,42,46,47,61,52,37,31,30,30,30,29,33,38,41,45,44,54,39,29,61,41
Bordeaux - Bastide,PM10,2012-03-11,29,28,26,24,23,23,24,23,25,32,36,33,31,36,42,34,28,32,37,55,48,57,47,46,23,57,34
Bordeaux - Bastide,PM10,2012-03-12,35,33,34,31,32,34,48,49,51,47,,,28,31,28,31,29,28,48,47,51,42,40,43,28,51,38
Bordeaux - Bastide,PM10,2012-03-13,40,35,32,36,42,42,42,57,74,66,59,42,37,36,32,43,37,39,57,96,56,58,65,76,32,96,50
Bordeaux - Bastide,PM10,2012-03-14,66,61,58,54,54,52,59,86,111,94,85,56,42,38,36,37,47,54,51,46,49,47,47,58,36,111,58
Bordeaux - Bastide,PM10,2012-03-15,57,62,66,56,57,59,63,77,80,74,68,68,72,73,66,60,52,43,52,77,80,57,66,69,43,80,65
Bordeaux - Bastide,PM10,2012-03-16,62,50,47,48,41,26,22,27,30,31,35,38,37,37,37,39,45,41,31,29,36,36,37,45,22,62,38
Bordeaux - Bastide,PM10,2012-03-17,47,50,46,44,44,41,39,39,42,41,45,42,42,40,40,34,38,40,63,24,7,11,8,10,7,63,37
Bordeaux - Bastide,PM10,2012-03-18,7,6,8,8,4,6,5,7,7,11,12,11,12,9,10,7,11,13,11,9,11,17,21,19,4,21,10
Bordeaux - Bastide,PM10,2012-03-19,17,11,10,12,9,11,12,16,18,21,27,17,13,23,21,22,28,28,25,26,30,31,30,31,9,31,20
Bordeaux - Bastide,PM10,2012-03-20,33,34,32,33,30,31,31,35,42,48,53,44,34,36,35,40,33,28,34,39,36,34,38,39,28,53,36
Bordeaux - Bastide,PM10,2012-03-21,37,39,41,42,42,43,48,51,44,43,40,38,40,50,45,35,42,39,37,45,44,40,41,43,35,51,42
Bordeaux - Bastide,PM10,2012-03-22,39,34,33,29,24,24,26,32,36,42,43,51,41,37,35,43,46,46,39,34,26,29,42,42,24,51,36
Bordeaux - Bastide,PM10,2012-03-23,42,36,27,22,22,25,31,43,47,30,25,26,22,21,24,22,20,26,27,36,38,28,28,30,20,47,29
Bordeaux - Bastide,PM10,2012-03-24,29,23,21,22,23,25,27,29,29,32,34,35,31,38,39,39,38,40,49,93,92,70,63,73,21,93,41
Bordeaux - Bastide,PM10,2012-03-25,77,42,40,42,35,30,32,32,30,30,28,35,36,32,22,25,27,29,27,26,27,27,25,22,22,77,32
Bordeaux - Bastide,PM10,2012-03-26,21,22,24,25,23,28,33,35,38,42,45,37,37,37,40,44,36,32,43,54,46,44,43,38,21,54,36
Bordeaux - Bastide,PM10,2012-03-27,39,31,26,29,31,37,47,53,63,50,47,46,45,48,49,43,39,48,43,64,54,37,28,26,26,64,43
Bordeaux - Bastide,PM10,2012-03-28,20,29,48,26,25,32,109,105,110,86,80,50,43,45,39,36,32,30,33,40,39,34,34,29,20,110,48
Bordeaux - Bastide,PM10,2012-03-29,32,36,33,40,39,55,81,92,93,77,69,51,62,55,44,40,32,36,33,25,33,32,25,24,24,93,47
Bordeaux - Bastide,PM10,2012-03-30,25,27,34,29,30,49,106,94,78,86,71,60,43,41,45,52,45,32,27,33,26,22,18,18,18,106,45
Bordeaux - Bastide,PM10,2012-03-31,20,18,21,22,24,21,27,38,42,41,44,38,34,32,29,27,29,34,33,44,37,40,39,39,18,44,32
Bordeaux - Bastide,PM10,2012-04-01,39,43,53,60,54,44,37,34,33,31,32,27,25,28,30,36,32,29,33,32,30,23,22,25,22,60,35
Bordeaux - Bastide,PM10,2012-04-02,22,21,21,23,30,38,50,54,42,47,45,40,39,31,32,33,32,24,24,23,21,21,22,22,21,54,32
Bordeaux - Bastide,PM10,2012-04-03,22,24,24,30,32,31,40,41,44,55,54,38,31,51,39,40,34,21,19,21,20,23,29,33,19,55,33
Bordeaux - Bastide,PM10,2012-04-04,35,28,26,26,25,30,42,47,52,37,27,27,25,27,31,28,17,18,24,23,19,18,13,13,13,13,12
Bordeaux - Bastide,PM10,2012-04-05,16,16,16,15,14,13,13,13,14,18,19,25,36,38,36,49,59,43,31,24,28,27,44,38,33,25,32
Bordeaux - Bastide,PM10,2012-04-06,32,32,34,32,27,27,29,32,36,39,33,38,43,48,47,26,43,44,32,13,13,15,8,8,8,48,30
Bordeaux - Bastide,PM10,2012-04-07,5,5,5,6,7,9,9,11,13,18,11,8,10,22,51,60,48,39,35,34,39,32,28,28,5,60,22
Bordeaux - Bastide,PM10,2012-04-08,25,24,22,20,20,19,12,13,15,16,15,8,10,11,15,16,16,16,16,18,19,16,17,18,8,25,17
