ANNEE,COMMUNE,NB_BENEFICIAIRES
2011,Commune Gours,NC
2011,Commune Gradignan,249
2011,Commune Grayan et L Hopital,15
2011,Commune Grezillac,12
2011,Commune Grignols,19
2011,Commune Guillac,NC
2011,Commune Guillos,10
2011,Commune Guitres,33
2011,Commune Gujan Mestras,188
2011,Commune Haux,9
2011,Commune Hostens,13
2011,Commune Hourtin,36
2011,Commune Hure,NC
2011,Commune Illats,10
2011,Commune Isle St Georges,7
2011,Commune Izon,50
2011,Commune Jau Dignac et Loirac,9
2011,Commune Jugazan,NC
2011,Commune Juillac,NC
2011,Commune La Brède,22
2011,Commune La Lande de Fronsac,25
2011,Commune La Rivière,NC
2011,Commune La Roquille,6
2011,Commune La Réole,84
2011,Commune La Sauve,9
2011,Commune La Teste de Buch,250
2011,Commune Labarde,6
2011,Commune Lacanau,37
2011,Commune Ladaux,NC
2011,Commune Lagorce,16
2011,Commune Lalande de Pomerol,NC
2011,Commune Lamarque,7
2011,Commune Lamothe Landerron,8
2011,Commune Landerrouat,NC
2011,Commune Landerrouet sur Ségur,NC
2011,Commune Landiras,8
2011,Commune Langoiran,17
2011,Commune Langon,125
2011,Commune Lansac,7
2011,Commune Lanton ,54
2011,Commune Lapouyade,7
2011,Commune Lartigue,NC
2011,Commune Laruscade,29
2011,Commune Latresne,28
2011,Commune Lavazan,NC
2011,Commune Le Barp,50
2011,Commune Le Bouscat,241
2011,Commune Le Fieu,8
2011,Commune Le Haillan,129
2011,Commune Le Nizan,NC
2011,Commune Le Pian Médoc,60
2011,Commune Le Pian sur Garonne,NC
2011,Commune Le Porge,23
2011,Commune Le Pout,NC
2011,Commune Le Puy,NC
2011,Commune Le Taillan Médoc,104
2011,Commune Le Teich,55
2011,Commune Le Temple,NC
2011,Commune Le Tourne,6
2011,Commune Le Tuzan,NC
2011,Commune Le Verdon sur Mer,12
2011,Commune Leogeats,10
2011,Commune Lerm et Musset,7
2011,Commune Les Artigues de Lussac,9
2011,Commune Les Billaux,NC
2011,Commune Les Eglisottes et Chalaures,23
2011,Commune Les Esseintes,NC
2011,Commune Les Lèves et Thoumeyragues,NC
2011,Commune Les Peintures,14
2011,Commune Les Salles de castillon,7
2011,Commune Lesparre Médoc,91
2011,Commune Lestiac sur Garonne,7
2011,Commune Libourne,332
2011,Commune Lignan de Bazas,NC
2011,Commune Lignan de Bordeaux,14
2011,Commune Ligueux,NC
2011,Commune Listrac Médoc,24
2011,Commune Listrac de Dureze,NC
2011,Commune Lormont,322
2011,Commune Loubens,NC
2011,Commune Louchats,8
2011,Commune Loupes,NC
2011,Commune Loupiac,8
2011,Commune Loupiac de la Réole,NC
2011,Commune Lucmau,NC
2011,Commune Ludon Médoc,39
2011,Commune Lugaignac,NC
2011,Commune Lugon et l Ile du Carney,10
2011,Commune Lugos,NC
2011,Commune Lussac,20
2011,Commune Lège Cap Ferret,88
2011,Commune Léognan,108
2011,Commune Macau,44
2011,Commune Maransin,17
2011,Commune Marcenais,6
2011,Commune Marcheprime ,59
2011,Commune Marcillac,9
2011,Commune Margaux,20
2011,Commune Margueron,NC
2011,Commune Marimbault,NC
2011,Commune Marions,NC
2011,Commune Marsas,9
2011,Commune Martignas sur Jalles,71
2011,Commune Martillac,20
2011,Commune Martres,NC
2011,Commune Masseilles,NC
2011,Commune Mazion,NC
2011,Commune Mazères,10
2011,Commune Mesterrieux,NC
2011,Commune Mios,64
2011,Commune Mombrier,NC
2011,Commune Mongauzy,14
2011,Commune Monprimblanc,NC
2011,Commune Monségur,44
2011,Commune Montagne,24
2011,Commune Montagoudin,NC
2011,Commune Montignac,NC
2011,Commune Montussan,19
2011,Commune Morizès,NC
2011,Commune Mouillac,NC
2011,Commune Mouliets et Villemartin,9
2011,Commune Moulis en Médoc,19
2011,Commune Moulon,9
2011,Commune Mourens,NC
2011,Commune Mérignac,787
2011,Commune Mérignas,NC
2011,Commune Naujac sur Mer,14
2011,Commune Naujan et Postiac,7
2011,Commune Neuffons,NC
2011,Commune Noaillan,20
2011,Commune Nérigean,13
2011,Commune Omet,NC
2011,Commune Ordonnac,NC
2011,Commune Origne,NC
2011,Commune Paillet,9
2011,Commune Parempuyre,78
2011,Commune Pauillac,113
2011,Commune Pellegrue,8
2011,Commune Pessac,700
2011,Commune Pessac sur Dordogne,6
2011,Commune Petit Palais et Cornemps,NC
2011,Commune Peujard,16
2011,Commune Pineuilh,52
2011,Commune Plassac,6
2011,Commune Pleine Selve,NC
2011,Commune Podensac,27
2011,Commune Pomerol,7
2011,Commune Pompignac,21
2011,Commune Pompéjac,NC
2011,Commune Pondaurat,6
2011,Commune Porchères,9
2011,Commune Portets,28
2011,Commune Preignac,27
2011,Commune Prignac et Marcamps,9
2011,Commune Préchac,10
2011,Commune Pugnac,22
2011,Commune Puisseguin,9
2011,Commune Pujols,8
2011,Commune Pujols sur Ciron,11
2011,Commune Puybarban,NC
2011,Commune Puynormand,NC
2011,Commune Périssac,10
2011,Commune Queyrac ,7
2011,Commune Quinsac,20
2011,Commune Rauzan,13
2011,Commune Reignac,21
2011,Commune Rimons,NC
2011,Commune Riocaud,NC
2011,Commune Rions,13
2011,Commune Roaillan,11
2011,Commune Romagne,NC
2011,Commune Roquebrune,7
2011,Commune Ruch,NC
2011,Commune Sablons,10
2011,Commune Sadirac,29
2011,Commune Saillans,NC
2011,Commune Salaunes,NC
2011,Commune Salignac,11
2011,Commune Salleboeuf,15
2011,Commune Salles,49
2011,Commune Samonac,NC
2011,Commune Saucats,10
2011,Commune Saugon,9
2011,Commune Saumos,NC
2011,Commune Sauternes,NC
