#,$id,broader_concept,Titre du du niveau,Commentaire (description) du titre du niveau,libellé alternatif,libellé alternatif,libellé alternatif,libellé alternatif,libellé alternatif,libellé alternatif,
lang,,,fr,fr,fr,fr,fr,fr,fr,fr,
url,skos:Concept,skos:broader,skos:prefLabel,skos:definition,skos:altLabel,skos:altLabel,skos:altLabel,skos:altLabel,skos:altLabel,skos:altLabel,
type,,url,string,string,string,string,string,string,string,string,
,#1-3-14,#1-3,Le Rousseau,Lieu-dit habité,"Audenge (Gironde, France) -- Le Rousseau",PAIHABIT0000000050820753,,"44,717843626, -0,900043579999931",,,
,#1-3-15,#1-3,Les Bergeys,Lieu-dit habité,"Audenge (Gironde, France) -- Les Bergeys",PAIHABIT0000000050822155,,"44,6778042970001, -1,01111340599994",,,
,#1-3-16,#1-3,Certes,Lieu-dit habité,"Audenge (Gironde, France) -- Certes",PAIHABIT0000000050821474,,"44,68761284, -1,02216042599991",,,
,#1-3-17,#1-3,Lagueyte,Lieu-dit habité,"Audenge (Gironde, France) -- Lagueyte",PAIHABIT0000000050820754,,"44,7362681580001, -0,903469972999915",,,
,#1-3-18,#1-3,La Hourcade,Lieu-dit habité,"Audenge (Gironde, France) -- La Hourcade",PAIHABIT0000000050821450,,"44,7069848180001, -0,934557681999934",,,
,#1-3-19,#1-3,Les Trucails,Lieu-dit habité,"Audenge (Gironde, France) -- Les Trucails",PAIHABIT0000000050822150,,"44,6729961350001, -0,990957188999914",,,
,#1-3-2,#1-3,Conservatoire du Littoral Domaine-De-Certes,Bâtiment,"Audenge (Gironde, France) -- Conservatoire du Littoral Domaine de Certes",S0574,,"44.692598, -1.021606",,,
,#1-3-20,#1-3,Lubec,Lieu-dit habité,"Audenge (Gironde, France) -- Lubec",PAIHABIT0000000050820756,,"44,7141857550001, -0,92006828399991",,,
,#1-3-21,#1-3,Saint-Yves,Lieu-dit habité,"Audenge (Gironde, France) -- Saint-Yves",PAIHABIT0000000050822156,,"44,677850408, -1,00631065199991",,,
,#1-3-22,#1-3,Bas Vallon,Lieu-dit habité,"Audenge (Gironde, France) -- Bas Vallon",PAIHABIT0000000050822151,,"44,672628188, -0,998745810999935",,,
,#1-3-23,#1-3,Mignon,Lieu-dit habité,"Audenge (Gironde, France) -- Mignon",PAIHABIT0000000050821451,,"44,6981118200001, -0,962827022999932",,,
,#1-3-24,#1-3,Oulès,Lieu-dit habité,"Audenge (Gironde, France) -- Oulès",PAIHABIT0000000050821453,,"44,6835301180001, -0,971179444999962",,,
,#1-3-25,#1-3,Ramouniche,Lieu-dit habité,"Audenge (Gironde, France) -- Ramouniche",PAIHABIT0000000050820757,,"44,722006891, -0,930674970999917",,,
,#1-3-26,#1-3,Au Grand Pierrillon,Lieu-dit habité,"Audenge (Gironde, France) -- Au Grand Pierrillon",PAIHABIT0000000050820760,,"44,7133502870001, -0,942087206999929",,,
,#1-3-27,#1-3,Camontant,Lieu-dit habité,"Audenge (Gironde, France) -- Camontant",PAIHABIT0000000050821462,,"44,6995110230001, -1,00362637399991",,,
,#1-3-28,#1-3,Le Raouque,Lieu-dit habité,"Audenge (Gironde, France) -- Le Raouque",PAIHABIT0000000050821448,,"44,7060714630001, -0,916756329999942",,,
,#1-3-29,#1-3,Pessalle,Quartier,"Audenge (Gironde, France) -- Pessalle",PAIHABIT0000000050821463,,"44,6850361720001, -1,01427978699991",,,
,#1-3-3,#1-3,Conservatoire du Littoral Domaine-De-Graveyron,Bâtiment,"Audenge (Gironde, France) -- Conservatoire du Littoral Domaine de Graveyron",S0581,,"44.6815, -1.006267",,,
,#1-3-30,#1-3,Bois de Saint-Yves,Quartier,"Audenge (Gironde, France) -- Bois de Saint-Yves",PAIHABIT0000000050821466,,"44,6935736130001, -1,01127818699996",,,
,#1-3-31,#1-3,Le Courtiou,Quartier,"Audenge (Gironde, France) -- Le Courtiou",PAIHABIT0000000050821458,,"44,6894410820001, -0,992177684999945",,,
,#1-3-32,#1-3,Les Jardins d'Audenge,Quartier,"Audenge (Gironde, France) -- Les Jardins d'Audenge",PAIHABIT0000000050821454,,"44,690991437, -0,988857985999914",,,
,#1-3-33,#1-3,Cournalet,Quartier,"Audenge (Gironde, France) -- Cournalet",PAIHABIT0000000050821461,,"44,683484697, -1,01969211399995",,,
,#1-3-34,#1-3,La Courbe,Quartier,"Audenge (Gironde, France) -- La Courbe",PAIHABIT0000000050821456,,"44,6892903900001, -0,996000945999924",,,
,#1-3-35,#1-3,Le Braou,Quartier,"Audenge (Gironde, France) -- Le Braou",PAIHABIT0000000050821464,,"44,6833747040001, -1,00490963699991",,,
,#1-3-36,#1-3,Les Moulins,Quartier,"Audenge (Gironde, France) -- Les Moulins",PAIHABIT0000000050821465,,"44,6813518380001, -1,00635391999992",,,
,#1-3-37,#1-3,La Braneyre,Quartier,"Audenge (Gironde, France) -- La Braneyre",PAIHABIT0000000050821459,,"44,6890207130001, -0,993958683999949",,,
,#1-3-38,#1-3,Ramonet,Ruines,"Audenge (Gironde, France) -- Ramonet",PAIHABIT0000000050820748,,"44,7329508930001, -0,875950551999949",,,
,#1-3-39,#1-3,Porte Teni,Ruines,"Audenge (Gironde, France) -- Porte Teni",PAIHABIT0000000050820761,,"44,712923941, -0,975895214999923",,,
,#1-3-4,#1-3,La Pointe,Lieu-dit habité,"Audenge (Gironde, France) -- La Pointe",PAIHABIT0000000050820752,,"44,71827955, -0,88177533399994",,,
,#1-3-40,#1-3,Les Platanes,Ruines,"Audenge (Gironde, France) -- Les Platanes",PAIHABIT0000000050819730,,"44,747020219, -0,911204949999956",,,
,#1-3-41,#1-3,Cimetière du Liougey,Tombeau,"Audenge (Gironde, France) -- Cimetière du Liougey",PAIRELIG0000000202690307,,"44,6986251910001, -0,981039918999954",,,
