OBJECTID,ID,Nom,Label,Code_SINOE,Code_Insee,MOA,Adresse_1,Adresse_2,CodePostal,Commune,Téléphone,Code_MOA,M_Adresse_1,M_Adresse_2,M_CodePostal,M_Commune,M_Téléphone,Horaires,L,M,Me,J,V,S,D,D_DV,D_FER,D_GRAV,D_ENC,D_BOIS,D_CART,D_D3E,D_PLAST,D_TEXT,D_DASRI,DD_HM,DD_PILES,DD_DMS,B_VERRE,D_PRO,ACCES_PRO,Code_Structure_Intercomm,LAT,LON
35,194,Déchèterie de Langon,Langon,15372,33227,SICTOM DU LANGONNAIS,"ZA de Dumès, rue Marcel Paul",,33210,Langon,,202,Zone artisanale de Dumes BP 111,"5, rue Marcel Paul",33212,LANGON CEDEX,05.56.62.36.03,"Lundi au Vendredi : 9h-12h et 13h30-17h
Samedi : 9h-16h",VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,FAUX,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,FAUX,VRAI,FAUX,VRAI,VRAI,VRAI,,FAUX,,7,44.541195016000074,-0.238100377999956
36,146,Déchèterie de Lanton,Lanton,2098,33229,COBAN ATLANTIQUE,Route de Blagon,,33138,Lanton,,624,46 avenue des colonies,,33510,ANDERNOS LES BAINS,05.57.76.17.17,"Du lundi au Samedi : 9h-12h30 / 14h-18h30
Dimanche : 9h-12h30
",VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,FAUX,VRAI,FAUX,VRAI,VRAI,VRAI,,FAUX,,36,44.718287090000047,-1.024084461999962
37,164,Déchèterie du Barp,Le Barp,4751,33029,CDC DU VAL DE L'EYRE,Chemin de la scierie,,31114,Le Barp,,2273,"20, route de Suzon",,33830,BELIN-BELIET,05.56.88.85.88,"Du Lundi au Vendredi : 9h-12h / 14h-19h 
Samedi 9h-18h 
Fermée le dimanche",VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,FAUX,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,FAUX,FAUX,FAUX,FAUX,FAUX,VRAI,VRAI,,FAUX,,19,44.596682075000047,-0.757804805999967
38,139,Déchèterie de Pyla,Le Pyla,2166,33529,COBAS,"59, av. de Biscarosse",,33260,La Teste-de-Buch,,17518,2 allée d'Espagne - BP147,,33311,ARCACHON CEDEX,05.56.22.33.44,"Lundi et Samedi : 8h-12h / 13h30-18h30
Du Mardi au Vendredi : 8h-18h30
Dimanche : 8h-12h",VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,FAUX,FAUX,FAUX,VRAI,VRAI,VRAI,,FAUX,,18,44.605227056000047,-1.199160578999965
39,144,Déchèterie de Lège Cap Ferret,Lège Cap Ferret,2100,33236,COBAN ATLANTIQUE,"Lieu dit """"Pont de Bredouille""""",,33950,Lège-Cap-Ferret,,624,46 avenue des colonies,,33510,ANDERNOS LES BAINS,05.57.76.17.17,"Du lundi au Samedi : 9h-12h30 / 14h-18h30
Dimanche : 9h-12h30
",VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,FAUX,VRAI,FAUX,VRAI,VRAI,VRAI,,FAUX,,36,44.784363258000042,-1.167507204999936
40,195,Déchèterie de Lerm et Musset,Lerm et Musset,33675,33213,SICTOM DU LANGONNAIS,Route de Grignols,,33840,Lerm-et-Musset,,202,Zone artisanale de Dumes BP 111,"5, rue Marcel Paul",33212,LANGON CEDEX,05.56.62.36.03,"Lundi, mercredi et vendredi de 9h à 12h et de 14h-17h30
Samedi de 9h à 16h",VRAI,FAUX,VRAI,FAUX,FAUX,VRAI,FAUX,VRAI,FAUX,FAUX,VRAI,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,,FAUX,,7,44.331146373000081,-0.139379541999972
41,185,Déchèterie de Lesparre,Lesparre,5399,33240,SMICOTOM,rue Hourtin,,33340,Lesparre Medoc,,2114,20 Zone d'Activité BP18,,33112,SAINT-LAURENT-MEDOC,05.56.73.27.40,Mardi au Samedi : 8h30-12h et 14h-17h30,FAUX,VRAI,VRAI,VRAI,VRAI,VRAI,FAUX,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,FAUX,FAUX,FAUX,FAUX,VRAI,VRAI,VRAI,,VRAI,,8,45.297897957000032,-0.945179021999934
42,180,Déchèterie de Libourne - l'Epinette,Libourne - l'Epinette,5410,33243,SMICVAL,193 av. de l'Epinette,,33500,Libourne,,16814,"8, route de la pinière",,33910,SAINT-DENIS-DE-PILE,05.57.55.39.79,"HIVER (du 02/11 au 31/01) : 9H00-12H et 13H-17H
ÉTÉ (du 01/02 au 31/10) :  9H00-12H et 14H-18H",VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,FAUX,VRAI,VRAI,FAUX,VRAI,VRAI,VRAI,VRAI,FAUX,FAUX,FAUX,VRAI,VRAI,VRAI,,FAUX,,41,44.906718196000043,-0.215054326999962
43,175,Déchèterie de Libourne - la Ballastière,Libourne - la Ballastière,43877,33243,SMICVAL,Rue de l'Industrie,ZI de la Ballastière,33500,Libourne,,16814,"8, route de la pinière",,33910,SAINT-DENIS-DE-PILE,05.57.55.39.79,"HIVER (du 02/11 au 31/01) : 9H00-12H et 13H-17H
ÉTÉ (du 01/02 au 31/10) :  9H00-12H et 14H-18H",VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,FAUX,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,FAUX,FAUX,FAUX,VRAI,VRAI,VRAI,,VRAI,,41,44.944505868000078,-0.235391902999936
44,165,Déchèterie de Lugos,Lugos,3998,33260,CDC DU VAL DE L'EYRE,Piste de l'enfer,,33830,Lugos,,2273,"20, route de Suzon",,33830,BELIN-BELIET,05.56.88.85.88,"Du Lundi : 13h/18h
Mercredi : 9h - 12h / 14h - 18h
Samedi : 9h - 18h
Mardi, Jeudi, Vendredi Dimanche : fermée",VRAI,FAUX,VRAI,FAUX,FAUX,VRAI,FAUX,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,VRAI,,FAUX,,19,44.481721959000026,-0.906738388999941
