NB_PRESTATATION,ANNEE,COMMUNE
20,2010,Commune Sauternes
87,2010,Commune Sauveterre de Guyenne
12,2010,Commune Sauviac
11,2010,Commune Savignac
22,2010,Commune Savignac de l Isle
7,2010,Commune Semens
12,2010,Commune Sendets
22,2010,Commune Sigalens
6,2010,Commune Sillas
99,2010,Commune Soulac sur Mer
10,2010,Commune Soulignac
8,2010,Commune Soussac
52,2010,Commune Soussans
7,2010,Commune St Aignan
29,2010,Commune St Androny
396,2010,Commune St André de Cubzac
15,2010,Commune St André du Bois
18,2010,Commune St André et Appelles
23,2010,Commune St Antoine
,2010,Commune St Antoine du Queyret
32,2010,Commune St Antoine sur l Isle
40,2010,Commune St Aubin de Blaye
10,2010,Commune St Aubin de Branne
75,2010,Commune St Aubin de Médoc
110,2010,Commune St Avit St Nazaire
,2010,Commune St Avit de Soulège
9,2010,Commune St Brice
31,2010,Commune St Caprais de Blaye
58,2010,Commune St Caprais de Bordeaux
18,2010,Commune St Christoly Médoc
142,2010,Commune St Christoly de Blaye
26,2010,Commune St Christophe de Double
20,2010,Commune St Christophe des Bardes
6,2010,Commune St Cibard
101,2010,Commune St Ciers d Abzac
37,2010,Commune St Ciers de Canesse
168,2010,Commune St Ciers sur Gironde
6,2010,Commune St Come
282,2010,Commune St Denis de Pile
45,2010,Commune St Emilion
79,2010,Commune St Estèphe
12,2010,Commune St Etienne de Lisse
,2010,Commune St Exupéry
12,2010,Commune St Felix de Foncaude
14,2010,Commune St Ferme
,2010,Commune St Genis du Bois
16,2010,Commune St Genès de Blaye
9,2010,Commune St Genès de Castillon
16,2010,Commune St Genès de Fronsac
9,2010,Commune St Genès de Lombaud
39,2010,Commune St Germain d Esteuil
6,2010,Commune St Germain de Grave
9,2010,Commune St Germain de la Rivière
48,2010,Commune St Germain du Puch
33,2010,Commune St Gervais
26,2010,Commune St Girons d'Aiguevives
12,2010,Commune St Hilaire de la Noaille
,2010,Commune St Hippolyte
102,2010,Commune St Jean d Illac
16,2010,Commune St Jean de Blaignac
19,2010,Commune St Julien Beychevelle 
27,2010,Commune St Laurent d Arce
,2010,Commune St Laurent des Combes 
7,2010,Commune St Laurent du Bois
130,2010,Commune St Laurent du Médoc
,2010,Commune St Laurent du Plan
12,2010,Commune St Loubert
201,2010,Commune St Loubès
74,2010,Commune St Louis de Montferrand
14,2010,Commune St Léger de Balson
,2010,Commune St Léon
109,2010,Commune St Macaire
21,2010,Commune St Magne
72,2010,Commune St Magne de Castillon
49,2010,Commune St Maixant
62,2010,Commune St Mariens
15,2010,Commune St Martial
58,2010,Commune St Martin Lacaussade
12,2010,Commune St Martin de Laye
,2010,Commune St Martin de Lerm
10,2010,Commune St Martin de Sescas
48,2010,Commune St Martin du Bois
9,2010,Commune St Martin du Puy
10,2010,Commune St Michel de Castelnau
18,2010,Commune St Michel de Fronsac
7,2010,Commune St Michel de Lapujade
9,2010,Commune St Michel de Rieufret
19,2010,Commune St Morillon
51,2010,Commune St Médard d Eyrans
175,2010,Commune St Médard de Guizières
494,2010,Commune St Médard en Jalles
12,2010,Commune St Palais
23,2010,Commune St Pardon de Conques
34,2010,Commune St Paul
,2010,Commune St Pey d Armens
17,2010,Commune St Pey de Castets
20,2010,Commune St Philippe d Aiguille
10,2010,Commune St Philippe du Seignal
62,2010,Commune St Pierre d Aurillac
,2010,Commune St Pierre de Bat
46,2010,Commune St Pierre de Mons
67,2010,Commune St Quentin de Baron
14,2010,Commune St Quentin de Caplong
20,2010,Commune St Romain la Virvée
19,2010,Commune St Sauveur
12,2010,Commune St Sauveur de Puynormand
145,2010,Commune St Savin
25,2010,Commune St Selve
21,2010,Commune St Seurin de Bourg
35,2010,Commune St Seurin de Cadourne
23,2010,Commune St Seurin de Cursac
182,2010,Commune St Seurin sur l'Isle
10,2010,Commune St Seve
32,2010,Commune St Sulpice de Faleyrens
9,2010,Commune St Sulpice de Guilleragues
,2010,Commune St Sulpice de Pommiers
98,2010,Commune St Sulpice et Cameyrac
58,2010,Commune St Symphorien
11,2010,Commune St Trojan
36,2010,Commune St Vincent de Paul
14,2010,Commune St Vincent de Pertignas
7,2010,Commune St Vivien de Blaye
9,2010,Commune St Vivien de Monségur
65,2010,Commune St Vivien de Médoc
143,2010,Commune St Yzan de Soudiac
17,2010,Commune St Yzans de Médoc
12,2010,Commune Ste Colombe
42,2010,Commune Ste Croix du Mont
254,2010,Commune Ste Eulalie
,2010,Commune Ste Florence
331,2010,Commune Ste Foy la Grande
,2010,Commune Ste Foy la Longue
11,2010,Commune Ste Gemme
61,2010,Commune Ste Hélène
21,2010,Commune Ste Radegonde
56,2010,Commune Ste Terre
29,2010,Commune Tabanac
9,2010,Commune Taillecavat
29,2010,Commune Talais
2857,2010,Commune Talence
47,2010,Commune Targon
8,2010,Commune Tarnes
45,2010,Commune Tauriac
,2010,Commune Tayac
22,2010,Commune Teuillac
,2010,Commune Tizac de Curton
15,2010,Commune Tizac de Lapouyade
162,2010,Commune Toulenne
74,2010,Commune Tresses
24,2010,Commune Uzeste
18,2010,Commune Valeyrac
68,2010,Commune Vayres
149,2010,Commune Vendays Montalivet
41,2010,Commune Vensac
35,2010,Commune Verac
51,2010,Commune Verdelais
32,2010,Commune Vertheuil
17,2010,Commune Vignonet
43,2010,Commune Villandraut
34,2010,Commune Villegouge
916,2010,Commune Villenave d Ornon
8,2010,Commune Villenave de Rions
29,2010,Commune Villeneuve
14,2010,Commune Virelade
48,2010,Commune Virsac
60,2010,Commune Yvrac
89,2011,Commune Abzac
32,2011,Commune Aillas
623,2011,Commune Ambarès et Lagrave
104,2011,Commune Ambès
254,2011,Commune Andernos les Bains
57,2011,Commune Anglade
10,2011,Commune Arbanats
15,2011,Commune Arbis
423,2011,Commune Arcachon
16,2011,Commune Arcins
31,2011,Commune Arsac
210,2011,Commune Artigues près Bordeaux
56,2011,Commune Arveyres
144,2011,Commune Arès
15,2011,Commune Asques
6,2011,Commune Aubiac
33,2011,Commune Aubie et Espessas
189,2011,Commune Audenge 
,2011,Commune Auriolles
17,2011,Commune Auros
38,2011,Commune Avensan
14,2011,Commune Ayguemorte les Graves
9,2011,Commune Bagas
9,2011,Commune Baigneaux
13,2011,Commune Balizac
,2011,Commune Barie
32,2011,Commune Baron
93,2011,Commune Barsac
,2011,Commune Bassanne
345,2011,Commune Bassens
17,2011,Commune Baurech
19,2011,Commune Bayas
30,2011,Commune Bayon sur Gironde
251,2011,Commune Bazas
52,2011,Commune Beautiran
29,2011,Commune Begadan
36,2011,Commune Beguey
149,2011,Commune Belin Beliet
,2011,Commune Bellebat
,2011,Commune Bellefond
12,2011,Commune Belvès de Castillon
