Annee;Region;id_departement;Departement;Cultures;Surfaces certifiées bio;Surfaces C1;Surfaces C2;Surfaces C3
2008;BRETAGNE;22;COTES-D'ARMOR;STH;1811,87;18,91;12,65;0
2008;BRETAGNE;29;FINISTERE;Autres;609,05;40,63;18,69;0
2008;BRETAGNE;29;FINISTERE;Céréales;1125,24;95,05;94,6;0
2008;BRETAGNE;29;FINISTERE;Cultures fourragères;4129,1;339,37;210,72;1,28
2008;BRETAGNE;29;FINISTERE;Fruits;58,89;0,1;0;0,26
2008;BRETAGNE;29;FINISTERE;Légumes frais;849,18;63,58;14,07;0
2008;BRETAGNE;29;FINISTERE;Oléagineux;18,2;0;0;0
2008;BRETAGNE;29;FINISTERE;PPAM;20,92;0,34;0,02;0
2008;BRETAGNE;29;FINISTERE;Protéagineux;46,15;4,61;4,5;0
2008;BRETAGNE;29;FINISTERE;STH;926,45;132,58;6,89;0
2008;BRETAGNE;35;ILLE-ET-VILAINE;Autres;310,99;19,96;77,11;0
2008;BRETAGNE;35;ILLE-ET-VILAINE;Céréales;1539,21;98,5;175,89;0
2008;BRETAGNE;35;ILLE-ET-VILAINE;Cultures fourragères;5281,92;380,65;467,51;0
2008;BRETAGNE;35;ILLE-ET-VILAINE;Fruits;65,11;2,53;0;1,72
2008;BRETAGNE;35;ILLE-ET-VILAINE;Légumes frais;275,99;10,99;14,02;0
2008;BRETAGNE;35;ILLE-ET-VILAINE;Oléagineux;41,94;0;0;0
2008;BRETAGNE;35;ILLE-ET-VILAINE;PPAM;s;s;s;s
2008;BRETAGNE;35;ILLE-ET-VILAINE;Protéagineux;62,91;23,51;3,03;0
2008;BRETAGNE;35;ILLE-ET-VILAINE;STH;1523,75;163,55;246,45;0
2008;BRETAGNE;56;MORBIHAN;Autres;536,4;70,13;38,56;0
2008;BRETAGNE;56;MORBIHAN;Céréales;1495,85;85,6;183,45;0
2008;BRETAGNE;56;MORBIHAN;Cultures fourragères;4550,67;88,81;284,58;0
2008;BRETAGNE;56;MORBIHAN;Fruits;48,75;10,74;0,35;0,02
2008;BRETAGNE;56;MORBIHAN;Légumes frais;224,77;4,51;25,72;0
2008;BRETAGNE;56;MORBIHAN;Oléagineux;36,24;0;4,17;0
2008;BRETAGNE;56;MORBIHAN;PPAM;29,46;0;0;0
2008;BRETAGNE;56;MORBIHAN;Protéagineux;66,33;4,41;20,28;0
2008;BRETAGNE;56;MORBIHAN;STH;1702,77;99,23;5,91;0
2008;BRETAGNE;56;MORBIHAN;Vigne;s;s;s;s
2008;CENTRE;18;CHER;Autres;698,04;15,44;16,58;12,8
2008;CENTRE;18;CHER;Céréales;1151,6;9,24;97,19;0
2008;CENTRE;18;CHER;Cultures fourragères;613,99;21,39;73,01;0,71
2008;CENTRE;18;CHER;Fruits;8,69;0,17;0,98;0
2008;CENTRE;18;CHER;Légumes frais;82,5;0;0;0
2008;CENTRE;18;CHER;Légumes secs;18,41;0;0;0
2008;CENTRE;18;CHER;Oléagineux;101,08;0;22,54;0
2008;CENTRE;18;CHER;PPAM;1,6;0;0;0
2008;CENTRE;18;CHER;Protéagineux;123,19;0;0;0
2008;CENTRE;18;CHER;STH;1038,8;78,13;105,27;0
2008;CENTRE;18;CHER;Vigne;66,3;59,18;17,3;68,78
2008;CENTRE;28;EURE-ET-LOIR;Autres;192,32;23,19;4,05;0
2008;CENTRE;28;EURE-ET-LOIR;Céréales;616,37;30,43;25,42;0
2008;CENTRE;28;EURE-ET-LOIR;Cultures fourragères;272,03;1,66;4,65;0
2008;CENTRE;28;EURE-ET-LOIR;Fruits;1,17;0;0;0
2008;CENTRE;28;EURE-ET-LOIR;Légumes frais;41,28;0;0;0
2008;CENTRE;28;EURE-ET-LOIR;Légumes secs;s;s;s;s
2008;CENTRE;28;EURE-ET-LOIR;Oléagineux;102,76;16,41;14,38;0
2008;CENTRE;28;EURE-ET-LOIR;PPAM;s;s;s;s
2008;CENTRE;28;EURE-ET-LOIR;Protéagineux;89,07;0;28,15;0
2008;CENTRE;28;EURE-ET-LOIR;STH;84,31;0;6,14;0
2008;CENTRE;36;INDRE;Autres;375,03;11,66;42,01;0
2008;CENTRE;36;INDRE;Céréales;521,07;62,03;75,84;0
2008;CENTRE;36;INDRE;Cultures fourragères;1184,83;205,22;157,23;0
2008;CENTRE;36;INDRE;Fruits;13,97;0;3,44;0
2008;CENTRE;36;INDRE;Légumes frais;17,49;0;9,03;0
2008;CENTRE;36;INDRE;Légumes secs;s;s;s;s
2008;CENTRE;36;INDRE;Oléagineux;25,87;14,21;10;0
2008;CENTRE;36;INDRE;PPAM;s;s;s;s
2008;CENTRE;36;INDRE;Protéagineux;87,86;9,5;21;0
2008;CENTRE;36;INDRE;STH;565,72;66,71;5,43;0
2008;CENTRE;37;INDRE-ET-LOIRE;Autres;426,72;10,15;47,72;1,4
2008;CENTRE;37;INDRE-ET-LOIRE;Céréales;1285,38;77,99;151,37;0
2008;CENTRE;37;INDRE-ET-LOIRE;Cultures fourragères;1116,72;73,53;91,62;0
2008;CENTRE;37;INDRE-ET-LOIRE;Fruits;90,02;0;3,04;0
2008;CENTRE;37;INDRE-ET-LOIRE;Légumes frais;62,35;4,53;7,62;0
2008;CENTRE;37;INDRE-ET-LOIRE;Légumes secs;20,65;0;0;0
2008;CENTRE;37;INDRE-ET-LOIRE;Oléagineux;304,59;32,26;0;0
2008;CENTRE;37;INDRE-ET-LOIRE;PPAM;14,66;0,7;0;0
2008;CENTRE;37;INDRE-ET-LOIRE;Protéagineux;180,56;21,36;36,54;0
2008;CENTRE;37;INDRE-ET-LOIRE;STH;471,33;0;30,3;0
2008;CENTRE;37;INDRE-ET-LOIRE;Vigne;343,4;146,38;78,44;74
2008;CENTRE;41;LOIR-ET-CHER;Autres;467,42;32,36;9,47;1,21
2008;CENTRE;41;LOIR-ET-CHER;Céréales;1306,24;108,04;23,36;0
2008;CENTRE;41;LOIR-ET-CHER;Cultures fourragères;535,01;86,04;2,65;0
2008;CENTRE;41;LOIR-ET-CHER;Fruits;12,77;0,76;0;0
2008;CENTRE;41;LOIR-ET-CHER;Légumes frais;281,54;0;0;0
2008;CENTRE;41;LOIR-ET-CHER;Légumes secs;20,12;0;0;0
2008;CENTRE;41;LOIR-ET-CHER;Oléagineux;191,84;28,53;6,64;0
2008;CENTRE;41;LOIR-ET-CHER;PPAM;s;s;s;s
2008;CENTRE;41;LOIR-ET-CHER;Protéagineux;175,49;9,65;0;0
2008;CENTRE;41;LOIR-ET-CHER;STH;424,84;1,59;13,27;0
2008;CENTRE;41;LOIR-ET-CHER;Vigne;254,42;44,15;81,38;13,02
2008;CENTRE;45;LOIRET;Autres;204,36;5,4;69,09;0
2008;CENTRE;45;LOIRET;Céréales;572,93;6,78;203,52;0
2008;CENTRE;45;LOIRET;Cultures fourragères;456,81;2,43;185,74;0
2008;CENTRE;45;LOIRET;Fruits;23,46;1,86;0,28;0
2008;CENTRE;45;LOIRET;Légumes frais;114,14;6,94;5,5;0
2008;CENTRE;45;LOIRET;Légumes secs;s;s;s;s
2008;CENTRE;45;LOIRET;Oléagineux;17,67;0;24,68;0
2008;CENTRE;45;LOIRET;PPAM;16,48;0;0;0
2008;CENTRE;45;LOIRET;Protéagineux;60,75;0;21,22;0
2008;CENTRE;45;LOIRET;STH;130,01;0,06;20,4;0
2008;CENTRE;45;LOIRET;Vigne;s;s;s;s
2008;CHAMPAGNE-ARDENNE;8;ARDENNES;Autres;34,42;0;0,95;0
2008;CHAMPAGNE-ARDENNE;8;ARDENNES;Céréales;255,08;49,83;15,3;0
2008;CHAMPAGNE-ARDENNE;8;ARDENNES;Cultures fourragères;179,09;60,47;95,78;0
2008;CHAMPAGNE-ARDENNE;8;ARDENNES;Fruits;5,12;0;0;0
